,Station Name,Street Address,City,State,ZIP,Groups With Access Code,Access Days Time,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Network,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Open Date,EV Connector Types,EV Pricing
558,MOTORPOOL PRO ARTS 1,208 11th Ave SE,Olympia,WA,98501,Public,24 hours daily,,2.0,,ChargePoint Network,47.038242,-122.899229,2023-09-29,163684,2023-09-29 00:30:56 UTC,2020-06-28,J1772,
559,CIBO POINT WHITE DR,4569 Point White Dr. NE,Bainbridge Island,WA,98110,Public,24 hours daily,,2.0,,ChargePoint Network,47.605226,-122.548468,2023-09-29,163737,2023-09-29 00:29:43 UTC,2020-07-01,J1772,
560,Bremerton DCYF,4210 Wheaton Way Suite 101,Bremerton,WA,98335,Public,,,2.0,,EV Connect,47.602992,-122.627002,2023-09-29,163967,2023-09-29 01:04:20 UTC,2020-06-26,J1772,
561,Mead Chevron,3812 E Highland Rd,Mead,WA,99021,Public,,,2.0,,EV Connect,47.786952,-117.353857,2023-09-29,163972,2023-09-29 01:04:17 UTC,2020-06-26,J1772,
562,Dry Gulch Trailhead,Dry Gulch Rd,Wenatchee,WA,98801,Public - Credit card at all times,24 hours daily,,1.0,,Non-Networked,47.39664792360551,-120.32983635714724,2022-08-10,163989,2023-02-14 15:54:11 UTC,2020-07-02,J1772,
563,Wenatchee Convention Center,121 N Wenatchee Ave,Wenatchee,WA,98801,Public - Credit card at all times,6am-10pm daily,,2.0,,Non-Networked,47.427475,-120.312078,2022-08-10,163990,2023-02-14 15:54:11 UTC,2020-07-02,J1772,Free
564,Confluence Health - Stanley Building,730 N Emerson Ave,Wenatchee,WA,98801,Public - Credit card at all times,24 hours daily,,2.0,,Non-Networked,47.431945,-120.323007,2022-08-10,163991,2023-02-14 15:54:11 UTC,2020-07-02,J1772,Free
565,Confluence Health - Mares Building,820 N Chelan Ave,Wenatchee,WA,98801,Public - Credit card at all times,24 hours daily,,2.0,,Non-Networked,47.432978,-120.322963,2022-08-10,163992,2023-02-14 15:54:11 UTC,2020-07-02,J1772,Free
566,Confluence Health - Central Washington Hospital,933 Red Apple Rd,Wenatchee,WA,98801,Public - Credit card at all times,24 hours daily,,2.0,,Non-Networked,47.406469,-120.322576,2022-08-10,163993,2023-02-14 15:54:11 UTC,2020-07-02,J1772,
567,Confluence Health - Central Washington Hospital Parking Garage,1201 S Miller St,Wenatchee,WA,98801,Public - Credit card at all times,24 hours daily,,12.0,,Non-Networked,47.407649,-120.323973,2022-08-10,163994,2023-02-14 15:54:11 UTC,2020-07-02,J1772,Free
568,BROADWAY BLDG STATION 1,1641 Nagle Pl,Seattle,WA,98122,Public,24 hours daily,,2.0,,ChargePoint Network,47.616001,-122.32028,2023-09-29,164082,2023-09-29 00:31:37 UTC,2020-07-09,J1772,
569,CAPRIO CELLARS STATION 1,1615 Whiteley Rd,Walla Walla,WA,99362,Public,24 hours daily,,2.0,,ChargePoint Network,46.011032,-118.36136,2023-09-29,164160,2023-09-29 00:26:23 UTC,2020-07-11,J1772,
570,"Cafaro TARGET PLACE PLAZA (OLYMPIA, WA)",2925 Harrison Ave NW,Olympia,WA,98502,Public,24 hours daily,,,4.0,Electrify America,47.04545,-122.93618,2023-09-29,164163,2023-09-29 01:00:46 UTC,2020-07-11,CHADEMO J1772COMBO,
571,Village at Beardslee Crossing - Tesla Supercharger,19128 112th Avenue NE,Bothell,WA,98011,Public,24 hours daily,,,10.0,Tesla,47.767687,-122.191482,2023-07-01,164168,2023-07-14 19:41:28 UTC,2020-07-10,TESLA,
572,Providence St. Mary Medical Center - Walla Walla,401 W Poplar St,Walla Walla,WA,99362,Public,24 hours daily,,2.0,,Non-Networked,46.062597,-118.34231,2022-08-10,164193,2023-02-14 15:54:11 UTC,2020-07-10,J1772,Free
573,KOZ WEAVER WEAVER RD RIGHT,1925 Weaver Rd,Snohomish,WA,98290,Public,24 hours daily,,2.0,,ChargePoint Network,47.938312,-122.109156,2023-09-29,164277,2023-09-29 00:31:25 UTC,2020-07-16,J1772,
574,BLAINE STATION 1,639-699 Peace Portal Dr,Blaine,WA,98230,Public,24 hours daily,,2.0,,ChargePoint Network,48.995255,-122.75184,2023-09-29,164278,2023-09-29 00:31:10 UTC,2020-07-16,J1772,
575,600NINTH 600NINTH,600 9th Ave,Seattle,WA,98104,Public,24 hours daily,,2.0,,ChargePoint Network,47.605888,-122.324733,2023-09-29,164339,2023-09-29 00:31:54 UTC,2020-07-17,J1772,
576,GARAGE SOUTH LOT,1100 Railroad Ave,Bellingham,WA,98225,Public,24 hours daily,,2.0,,ChargePoint Network,48.747287,-122.480701,2023-09-29,164392,2023-09-29 00:31:15 UTC,2020-07-21,J1772,
577,P-3000 Garage at Carillon Point,3000 Carillon Point,Kirkland,WA,98033,Public,24 hours daily,,1.0,,Blink Network,47.65753,-122.206519,2023-09-29,164476,2023-09-29 00:01:23 UTC,2020-07-24,J1772,Free
578,P-2000 Garage at Carillon Point,2000 Carillon Point,Kirkland,WA,98033,Public,24 hours daily,,2.0,,Blink Network,47.65753,-122.206519,2023-09-29,164477,2023-09-29 00:01:23 UTC,2020-07-24,J1772,Free
579,P-4000 Garage at Carillon Point,4000 Carillon Point,Kirkland,WA,98033,Public,24 hours daily,,1.0,,Blink Network,47.655327,-122.205254,2023-09-29,164479,2023-09-29 00:01:23 UTC,2020-07-24,J1772,Free
580,CI&S COUNTRY INN #1,3100 S 192nd St,SeaTac,WA,98188,Public,24 hours daily,,2.0,,ChargePoint Network,47.431736,-122.29395,2023-09-29,164536,2023-09-29 00:30:28 UTC,2020-07-25,J1772,
581,University of Washington - Husky Stadium,3800 Montlake Blvd NE,Seattle,WA,98195,Public,24 hours daily; UW permit required 6am to 9pm M-F and 7am-12pm on Saturdays; 2 hour time limit,,2.0,,Non-Networked,47.648934,-122.302389,2022-08-10,164565,2023-02-14 15:54:11 UTC,2020-07-24,J1772,
582,University of Washington - Parking Area S1,3500 Columbia Rd,Seattle,WA,98195,Public,24 hours daily; UW permit required; 2 hour time limit,,1.0,,Non-Networked,47.650072,-122.310852,2022-08-10,164566,2023-02-14 15:54:11 UTC,2020-07-24,J1772,
583,University of Washington - Portage Bay Garage,3740 Brooklyn Ave NE,Seattle,WA,98105,Public,24 hours daily; UW permit required; 2 hour time limit,,4.0,,Non-Networked,47.653047,-122.313915,2022-08-10,164567,2023-02-14 15:54:11 UTC,2020-07-24,J1772,Parking fee
584,University of Washington - Central Plaza Garage,4100 15th Ave NE,Seattle,WA,98105,Public,24 hours daily; UW permit required; 2 hour time limit,,5.0,,Non-Networked,47.656832,-122.311626,2022-08-10,164568,2023-02-14 15:54:11 UTC,2020-07-24,J1772,Parking fee
585,University of Washington - Parking Area N2,4224 Memorial Way NE,Seattle,WA,98105,Public,24 hours daily; UW permit required; 2 hour time limit,,1.0,,Non-Networked,47.658987,-122.309214,2022-08-10,164569,2023-02-14 15:54:11 UTC,2020-07-24,J1772,
586,University of Washington - Parking Area N5,4324 Memorial Way NE,Seattle,WA,98105,Public,24 hours daily; parking permit required; 2 hour time limit,,1.0,,Non-Networked,47.660311,-122.309086,2023-01-10,164570,2023-02-14 15:54:11 UTC,2020-07-24,J1772,Free for UW permit holders; $4 per hour for non-permit holders
587,University of Washington - Parking Area W46,4317 12th Ave NE,Seattle,WA,98105,Public,24 hours daily; UW permit required; 2 hour time limit,,2.0,,Non-Networked,47.660696,-122.315595,2022-08-10,164571,2023-02-14 15:54:11 UTC,2020-07-24,J1772,
588,Gold Parking Lot,110 9th Ave SW,Puyallup,WA,98371,Public,24 hours daily,,1.0,,Blink Network,47.184778,-122.29331,2023-09-28,164721,2023-09-28 23:57:32 UTC,2020-08-01,J1772,Free
589,InterCityTransit,2548 Hogum Bay Rd NE,Olympia,WA,98516,Public,24 hours daily,,5.0,,Blink Network,47.067908,-122.76289,2023-09-29,164740,2023-09-29 00:03:04 UTC,2020-08-01,J1772,Free
590,VBG Seattle,901 Fifth Ave,Seattle,WA,98164,Public,24 hours daily,,2.0,,Blink Network,47.60578,-122.331858,2023-09-29,164762,2023-09-29 00:00:18 UTC,2020-08-01,J1772,Free
591,MasterPark/Lot B,2907 South 170th Street,SeaTac,WA,98188,Public,24 hours daily,,2.0,,Blink Network,47.45061,-122.294966,2023-09-29,164766,2023-09-29 00:03:40 UTC,2020-08-01,J1772,Free
592,CITY OF ZILLAH P&R NORTH,113 1st Ave,Zillah,WA,98953,Public,24 hours daily,,2.0,,ChargePoint Network,46.405066,-120.270721,2023-09-29,165113,2023-09-29 00:32:11 UTC,2020-08-11,J1772,
593,Spokane City Credit Union,1930 N Monroe St,Spokane,WA,99205,Public,24 hours daily,,1.0,,Non-Networked,47.675571,-117.426269,2022-08-10,165136,2023-02-14 15:54:11 UTC,2020-07-31,J1772,Free
594,"BELLEVUECOLLEGE BC SSC,U BLDG2",3000 Landerholm Cir SE,Bellevue,WA,98007,Public,24 hours daily,,2.0,,ChargePoint Network,47.584536,-122.148517,2023-09-29,165178,2023-09-29 00:31:55 UTC,2020-08-12,J1772,
